Number ,Actual,Perceived 
1,1,1
2,2,2
3,3,3
4,1,1
5,6,6
6,4,4
7,5,5
8,3,3
9,1,1
10,3,3
11,3,3
12,1,1
13,1,1
14,3,3
15,2,2
16,4,4
17,2,2
18,1,1
19,4,4
20,4,4
21,2,2
22,2,2
23,3,3
24,2,2
25,5,5
26,5,5
27,3,3
28,6,6
29,3,3
30,6,6
31,3,3
32,3,3
33,4,4
34,4,4
35,6,5
36,2,2
37,6,5
38,2,2
39,5,6
40,3,3
41,1,1
42,5,5
43,5,5
44,6,6
45,3,3
46,6,6
47,4,4
48,5,6
49,6,6
50,5,5
51,5,5
52,3,3
53,1,1
54,6,5
55,4,4
56,1,1
57,1,1
58,5,5
59,1,1
60,4,4
61,4,4
62,2,2
63,6,6
64,2,2
65,3,3
66,3,3
67,2,2
68,1,1
69,2,2
70,6,5
71,4,4
72,4,4
73,4,4
74,1,1
75,5,6
76,5,6
77,2,2
78,6,5
79,3,3
80,2,2
81,6,5
82,4,4
83,1,1
84,5,6
85,5,6
86,4,4
87,4,4
88,4,4
89,5,6
90,4,4
91,5,5
92,2,2
93,6,6
94,4,4
95,2,2
96,5,5
97,2,2
98,6,6
99,4,4
100,5,5
101,3,3
102,3,3
103,1,1
104,1,1
105,5,5
106,2,2
107,1,1
108,6,5
109,5,6
110,1,1
111,6,5
112,3,3
113,1,1
114,6,5
115,2,2
116,1,1
117,3,3
118,6,5
119,6,5
120,2,2
